,0
80b885ef5fcac273c4dd5e459493c8cf,22803.0
4ace7fcc0083591c1092e2f13b37bc87,12817.0
15df22f0d7d38560e477037e76778c86,11745.0
f62855168dae50e0d2972bcce49cef9b,11625.0
89dd433c7237a35a5a806adb80eab185,11482.0
dc9929f1d1f5de503affce1fa9a1ae22,10944.0
395024ccfb3a2a0f137c95d1633c7c8a,7089.0
94bf09802c7d626169e6cbea4e8b53cd,6969.0
ee1a8aa836fe122e57faa3b111621439,6342.0
9566f1062d5e4af4e6e6e496558801ec,6219.0
fc585a4b67822c597f6bec671cd910ca,4961.0
2f18114568e61ae0d2ab0afe72e6a2b4,4011.0
810f50276603d7b222e35ca242219a06,3786.0
b92b67fe006ad404f0bdad3cc2effc99,3604.0
903433c68f82c452ead8cac033824b38,3471.0
4e45518041a8be3a294adb4303c332d8,3451.0
db0a7fc3426e714cdcf5f3051d15cc82,3315.0
c858b4fc47cfb2e72b51d6608ff2dff8,3076.0
975185772993a0a02bd379cd7c45c4b1,3028.0
b8fcc6fc2d17f427911ee4488a6e0300,2857.0
338abc21f33b97185e9c515c4b245159,2506.0
33a53c31b6055486f741d63dbc696170,2445.0
91c439b4406f468adf9f39d4179d31e0,2442.0
cf192262cefa749465d55ac87a026901,2437.0
bd9c592e632f23d10a5017ab2da2cba8,2420.0
6c9902b3dbd65afc438993913eb73f98,2378.0
742862e95673808ddbb337bf6d614f91,2305.0
95ba23c5f6aeb7a11b3460b98fbb7ebd,2233.0
f75a016e69c7a2f2fa83762c79af12b6,2132.0
6a017116b096c3a8eae2e2b70e798c3a,2125.0
0043309aa56a0bf33ec8c9eaa7db1040,1966.0
3adb61dcb71343a15597828f09d52cc9,1807.0
86a822b0bc83431aefe0897a431f429f,1786.0
881e42f800c62f2c9ae45bc33e4e82d8,1729.0
9f5bc4a32a0f99d056dc14714e13876d,1662.0
f341f1111b6dafd011d62f98b0296fd0,1560.0
614a03a75fadaef9f93f3cf32e03f10f,1537.0
8a3cbbfb060b50c2b723151a011dba65,1507.0
d2a8ef245e1c55b09477fd7af29a1631,1459.0
64046cef8774fdf3ac228f56d9a9faba,1449.0
6beb14559d1aba62f0dfb87842d09c0c,1438.0
f20423bd30bb3ed49dd2644592de190c,1431.0
5627ca848642b459dc97955c9251d8f4,1414.0
e5fbe4ca4173d2d4e0b37fd52291cf7f,1387.0
d3d63eaf6f68b56e54e2c70f4f95734f,1386.0
21a8ad5d79797b83f5d119abdaacb12a,1324.0
3e2599cee19734784d080b6373f4e0a8,1313.0
f9f77c98298fa732e7a07c070ae56a69,1310.0
8dbb087890afbe5d14f0319dd69a499b,1305.0
bfffb72781e6d2a484a0e085cf35e9b0,1302.0
844b00c4a2f945872743c1e942712bae,1298.0
5ff66149a881b4e4e6d84c84fc05b0f4,1297.0
e6cd02c0c9d46b49249a85e5abf2c10d,1204.0
982b8b9f2b02fe63732aac75bc50bf1b,1200.0
793f0dcf00834e2e8c9cdfb2c6f0ee2f,1197.0
0916fe10bcfc0678225450a902686a93,1180.0
e0cddcce79b84a02f3eff2c65916c3b1,1174.0
7b0a0dd358e6a133de22f42e016355a6,1164.0
74cd0027f6e584f968ba525102fa196a,1161.0
111b00d2b6f5bd61ad503a30f08e1615,1126.0
a5f51db642efcf47642d34751214285d,1126.0
92b38e1d797516c10e8a8c85a71e6dc4,1125.0
fccb875a6630500bf5d6bdd3a52c4624,1114.0
a318ee7e1247d88f4b932b10e3cf5ac9,1092.0
0d515ed9f2b21b14ad5cc290f3b9d174,1090.0
15f803ac97480124663d25d1da08a648,1080.0
dcdf88398419d0db7619516fde21034b,1036.0
eb523c30d27d29a902fb33cd49340a40,1030.0
b3f2867c6ba44eb6b9e5f35616937399,1009.0
4ecd792232444956d61b62d6f0a1a9be,994.0
4bbc7122741c63bab542abf3984c69d3,970.0
1180e4e3bbe95ea3055a5d7a0e53b5e3,969.0
669075e74544cff752c8a6c64b27bcbc,961.0
324535abe060e88246b6e58752807621,944.0
f5a566fab400b05f25a5a938deaa018f,939.0
9f571725311822f5ea597c981b4f1b46,931.0
37dda5ac331c145f6bc2933bdf463eff,926.0
cd4841aaf6a34a021bebe33b1e3af11c,926.0
f32f46d75ef4aa7a6ce0cec5de102bb7,922.0
70300f2c1dd61ee44bc5009dd2dd6742,918.0
b4ac49f6c921f509aaddc406ba7376fe,912.0
7f73a7cb42e27d623a7d54355cd1252e,890.0
42ca238c34bed153ac9c94fe70aad176,883.0
1bbde54650b9194fa4cbb6b2c008a103,877.0
96bd5377c435305af332eb9041cd4654,872.0
fe851bd98c618fb1dc58a5d6d66980c5,867.0
